,original_title,doc
61,Mr. Holland's Opus,"In    passionate musician Glenn Holland takes a day job as a high school music teacher  convinced it's just a small obstacle on the road to his true calling  writing a historic opus  As the decades roll by with the composition unwritten but generations of students inspired through his teaching  Holland must redefine his life's purpose Of All the Lives He Changed  the One That Changed the Most Was His Own Dramacomposer,mentor,deaf-mute,musical,apprentice,private_life,music,disabledStephen_Herek,Richard_Dreyfuss,Glenne_Headly,Jay_Thomas,Olympia_Dukakis,William_H._Macy,Alicia_Witt,Nicholas_John_Renner,Joseph_Anderson,Anthony_Natale,Jean_Louisa_Kelly,Terrence_Howard,Damon_Whitaker,Alexandra_Boyd,Joanna_Gleason,Beth_Maitland,Joshua_Minnick"
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"When Ashtray  Shawn Wayans  moves to South Central L A  to live with his father  who appears to be the same age he is  and grandmother  who likes to talk tough and smoke reefer   he falls in with his gang banging cousin Loc Dog  Marlon Wayans   who along with the requisite pistols and Uzi carries a thermo nuclear warhead for self defense  Will Ashtray be able to keep living the straight life Finally  the movie that proves that Justice isn't always Poetic  Jungle Fever isn't always pretty  and Higher Learning can be a waste of time Comedy Crimedate,slang,hip-hop,gangster,cousin,parody,hood,gang,social_satire,racismParis_Barclay,Shawn_Wayans,Marlon_Wayans,Tracey_Cherelle_Jones,Chris_Spencer,Vivica_A._Fox,Rappin'_Granny,Suli_McCullough,Bernie_Mac,Faizon_Love,Keenen_Ivory_Wayans,Kim_Wayans,Helen_Martin,Virginia_Watson,Darrel_Heath,Omar_Epps"
63,Two If by Sea,"Frank O'Brien  a petty thief  and his   year long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job  which involves stealing a valuable painting  Frank takes Roz to an island on the coast of New England  where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up  Not everything goes as planned A new comedy about love  laughter  and larcenyComedy Romanceisland,painting,thief,seasicknessBill_Bennett,Sandra_Bullock,Denis_Leary,Yaphet_Kotto,Stephen_Dillane,Tracey_Cherelle_Jones,Julia_Montgomery_Brown,Jane_Moffat,Mike_Starr,Jonathan_Tucker,Wayne_Robson,Michael_Badalucco,Angela_Moore,Lenny_Clarke,Jonny_Fido,Don_Gavin,John_Friesen,Markus_Parilo,Sean_Runnette,Richard_Fitzpatrick,Claire_Rankin,Michael_Risley,Martha_Irving,Sandi_Ross,Gia_Carides"
64,Bio-Dome,"Bud and Doyle are two losers who are doing nothing with their lives  Both of their girlfriends are actively involved in saving the environment  but the two friends couldn't care less about saving the Earth  One day  when a group of scientists begin a mission to live inside a ""Bio Dome"" for a year without outside contact  Bud and Doyle mistakenly become part of the project themselves Bud and Doyle are here to save the world  But who's gonna save the world from Bud and Doyle Comedybiotope,vegetarian,pollution,biosphereJason_Bloom,Pauly_Shore,Stephen_Baldwin,William_Atherton,Joey_Lauren_Adams,Teresa_Hill,Henry_Gibson,Kevin_West,Denise_Dowse,Dara_Tomanovich,Rose_McGowan,Taylor_Negron,Patricia_Hearst,Jeremy_Jordan,Trevor_St._John,Channon_Roe,Kylie_Minogue,Kyle_Gass,Jack_Black,Christopher_Dye"
65,Lawnmower Man 2: Beyond Cyberspace,"Jobe is resuscitated by Jonathan Walker  He wants Jobe to create a special computer chip that would connect all the computers in the world into one network  which Walker would control and use  But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan God made him simple  Science made him a god  Now  he wants revenge Action Sci-Fi Thrillerhacker,virtual_reality,computer,sword_fightFarhad_Mann,Patrick_Bergin,Matt_Frewer,Austin_O'Brien,Ely_Pouget,Camille_Cooper,Patrick_LaBrecque,Crystal_Celeste_Grant,Sean_P._Young,Mathew_Valencia,Kevin_Conway,Trever_O'Brien,Richard_Fancy,Ellis_E._Williams,Castulo_Guerra,Molly_Shannon,Ralph_Ahn,David_Byrd,Stéphanie_Menuez,Nancy_Chen,Amanda_Hillwood,Patricia_Belcher,Gregg_Daniel,Arthur_Mendoza,Dale_E._House,John_Benjamin_Martin,Ayo_Adejugbe,Yoshio_Be,Carl_Carlsson,David_Gene_Gibbs,Pamela_West,Dan_Lipe,Kenny_Endoso"
66,Two Bits,"It's a hot summer day in   in South Philly  where   year old Gennaro lives with his widowed mom and his ailing grandpa  who sits outside holding tight to his last quarter  which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater  But grandpa's not ready to pass on the quarter or pass on to his final reward  he has some unfinished business with a woman from his past  and he enlists Gennaro to act as his emissary You're never too old to believe in a dream  Or too young to make one come true Drama James_Foley,Jerry_Barone,Al_Pacino,Mary_Elizabeth_Mastrantonio,Joe_Grifasi,Geoff_Pierson,Patrick_Borriello,Andy_Romano,Donna_Mitchell,Mary_Testa,Joey_Perillo,Alec_Baldwin,Ron_McLarty,Charley_Scalies,Joanna_Merlin,Mario_D'Elia"
67,Gazon maudit,"After learning of her husband's infidelities  a housewife invites an itinerant lesbian to move in with them  None of their lives will ever be the same again A scorned wife  An outrageous affair  The perfect revenge Comedy Romancelove_triangle,southern_france,estate_agent,menage_a_trois,van,polyamory,woman_directorJosiane_Balasko,Victoria_Abril,Josiane_Balasko,Alain_Chabat,Ticky_Holgado,Catherine_Hiegel,Catherine_Samie,Catherine_Lachens,Katrine_Boorman,Telsche_Boorman,Véronique_Barrault,Sylvie_Audcoeur,Michèle_Bernier,Maureen_Diot,Miguel_Bosé,Jean-Luc_Violet"
68,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon  smoking and drinking  looking for something to do A lot can go down between thursday and saturday   Comedyrap_music,parent_child_relationship,rapper,jobF._Gary_Gray,Ice_Cube,Chris_Tucker,Nia_Long,Tom_Lister_Jr.,John_Witherspoon,Anna_Maria_Horsford,Regina_King,Paula_Jai_Parker,Faizon_Love,DJ_Pooh,Tony_Cox,Anthony_Johnson,Bernie_Mac,Meagan_Good,Terri_J._Vaughn,F._Gary_Gray,Reynaldo_Rey,Michael_Clarke_Duncan"
69,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas  They escape across the border into Mexico and will be home free the next morning  when they pay off the local kingpin  They just have to survive 'from dusk till dawn' at the rendezvous point  which turns out to be a Hell of a strip joint One night is all that stands between them and freedom  But it's going to be a hell of a night Action Comedy Horror Thrillerdancing,sibling_relationship,showdown,sheriff,bank_robber,vampire,holy_water,siege,stripper,priest,bank_robbery,preacher,hostage_situation,crucifix,recreational_vehicle,convenience_store,mexican_american_border,boa_constrictorRobert_Rodriguez,George_Clooney,Quentin_Tarantino,Harvey_Keitel,Juliette_Lewis,Ernest_Liu,Salma_Hayek,Cheech_Marin,Danny_Trejo,Tom_Savini,Fred_Williamson,Michael_Parks,Brenda_Hillhouse,John_Saxon,Marc_Lawrence,Kelly_Preston,John_Hawkes,Tito_Larriva,Peter_Atanasoff,Johnny_Vatos_Hernandez,Aimee_Graham,Heidi_McNeal,Ernest_M._Garcia,Gregory_Nicotero,Cristos,Mike_Moroff,Tia_Texada,Janine_Jordae,Ungela_Brockman,Michelle_Berube,Michael_McKay,Jake_McKinnon,Walter_Phelan,Wayne_Toth,Rosalia_Hayakawa,Amy_Minda_Cohen,Cecilia_Montiel,Annette_Harper"
70,Fair Game,"Max Kirkpatrick is a cop who protects Kate McQuean  a civil law attorney  from a renegade KGB team out to terminate herHe's a cop on the edge  She's a woman with a dangerous secret  And now they're both   Actionbomb,miami,_florida,detective,handcuffs,based_on_novel_or_book,hostage,fbi,kidnapping,hacker,kgb,chase,sadism,parking_garage,pizza,police_protection,psychopath,remake,car_crash,conspiracy,on_the_run,fugitive,shootout,gunfight,sadist,foot_chase,police_detective,police_station,car_chase,held_at_gunpoint,double_cross,cult_film,machine_gun,swat_team,grenade_launcher,underwater_scene,rogue_agent,woman_lawyer,damsel_in_distressAndrew_Sipes,William_Baldwin,Cindy_Crawford,Steven_Berkoff,Christopher_McDonald,Miguel_Sandoval,Johann_Carlo,Salma_Hayek,John_Bedford_Lloyd,Jenette_Goldstein,Paul_Dillon,Olek_Krupa,Gustav_Vintas,Marc_Macaulay,Ruben_Rabasa,Sonny_Carl_Davis,Dan_Hedaya,Antoni_Corone,Dan_Hedaya"
71,Kicking and Screaming,"After college graduation  Grover's girlfriend Jane tells him she's moving to Prague to study writing  Grover declines to accompany her  deciding instead to move in with several friends  all of whom can't quite work up the inertia to escape their university's pull  Nobody wants to make any big decisions that would radically alter his life  yet none of them wants to end up like Chet  the professional student who tends bar and is in his tenth year of university studies Anxiety loves companyComedy Dramabar,male_friendship,college,friendship,campus,video_store,graduateNoah_Baumbach,Josh_Hamilton,Olivia_d'Abo,Carlos_Jacott,Eric_Stoltz,Chris_Eigeman,Jason_Wiles,Parker_Posey,Samuel_Gould,Catherine_Kellner,Jonathan_Baumbach,Peter_Czernin,Eliza_Roberts,Christopher_Reed,Noah_Baumbach,Dean_Cameron,Elliott_Gould,David_DeLuise,Cara_Buono,Perrey_Reeves,Lauren_Katz,John_Lehr,Ian_Davids,Kaela_Dobkin"
72,Les misérables,"In France during World War II  a poor and illiterate man  Henri Fortin  Jean Paul Belmondo   is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life In a time of chaos  in a world of change  he was moved by a book he could not read to become a hero he never imagined Drama Warparis,_france,nun,jew_/_jewish,boxer,lawyerClaude_Lelouch,Jean-Paul_Belmondo,Michel_Boujenah,Alessandra_Martines,Salomé_Lelouch,Annie_Girardot,Philippe_Léotard,Philippe_Khorsand,Ticky_Holgado,Rufus,Nicole_Croisille,William_Leymergie,Jean_Marais,Micheline_Presle,Darry_Cowl,Clémentine_Célarié,Daniel_Toscan_du_Plantier"
73,Bed of Roses,"The seeds of love are planted when Lisa  a high powered investment banker  receives flowers from a secret admirer  But when his fairy tale fantasies clash with her workaholic ways  they soon find out that sometimes  it's harder than it seems for love to conquer all He gave her flowers  She gave him a chance Drama Romanceflorist,family_relationshipsMichael_Goldenberg,Christian_Slater,Mary_Stuart_Masterson,Pamela_Adlon,Josh_Brolin,Brian_Tarantina,Debra_Monk,Mary_Alice,Kenneth_Cranham,Ally_Walker,Anne_Pitoniak,Michael_Haley,Cass_Morgan,Gina_Torres,Nick_Tate,Víctor_Sierra,Michael_Mantell,Zachary_Chaltiel,Claire_Jacobs,Paul_Cassell,Yvonne_Zima,Desiree_Casado,Aldis_Hodge,Jessica_Brooks_Grant,Jonathan_Nocera,Leah_Pepper,Donna_Jean_Fogel,S.A._Griffin,Edith_Blume,Liz_Sinclair,Al_Cerullo,John_D._Bair,Jamie_Harrold,Adrian_Lee,Andrea_Leigh,Benjamin_Rutkowski"
74,Big Bully,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined  only the bully wants to relive their painful past by torturing him once again A comedy for the kid in all of us Comedy DramabullySteve_Miner,Rick_Moranis,Tom_Arnold,Julianne_Phillips,Carol_Kane,Jeffrey_Tambor,Curtis_Armstrong,Don_Knotts,Doug_Abrahams"
75,Screamers,"SIRIUS  B  Year    On a distant mining planet ravaged by a decade of war  scientists have created the perfect weapon  a blade wielding  self replicating race of killing devices known as Screamers designed for one purpose only    to hunt down and destroy all enemy life forms The last scream you hear will be your own Action Sci-Fi Thrillerman_vs_machine,alien_planet,struggle_for_survivalChristian_Duguay,Peter_Weller,Roy_Dupuis,Jennifer_Rubin,Andrew_Lauer,Liliana_Komorowska,Michael_Caloz,Jason_Cavalier,Ron_White,Charles_Edwin_Powell,Leni_Parker,Sylvain_Massé,Bruce_Boa,Tom_Berry,Henry_Ramer"
76,Nico Icon,"A look into the many lives of Christa Päffgen  otherwise known as Nico  from cutie German mädchen to the first of the supermodels  to glamorous diva of the Velvet Underground  to cult item  junkie and hag  Many faces for the same woman  whom  you realize  just couldn't bring herself to care enough to live  Documentary Susanne_Ofteringer,Nico,Tina_Aumont,Christian_Aaron_Boulogne,Jackson_Browne,John_Cale,Danny_Fields,Jonas_Mekas,Paul_Morrissey,Billy_Name,Viva"
77,The Crossing Guard,"After his daughter died in a hit and run  Freddy Gale has waited six years for John Booth  the man responsible  to be released from prison  On the day of release  Gale visits Booth and announces that he will kill him in one week  Booth uses his time to try and make peace with himself and his entourage  and even finds romance  Gale  whose life is spiraling down because of his obsession towards Booth  will bring himself on the very edge of sanity  At he end of the week  both men will find themselves on a collision course with each other    some lives cross  others collide Action Crime Drama Thrillerloss_of_loved_one,hit-and-run,revenge,tragedySean_Penn,Jack_Nicholson,David_Morse,Anjelica_Huston,Robin_Wright,Piper_Laurie,Richard_Bradford,Priscilla_Barnes,David_Baerwald,Robbie_Robertson,John_Savage,Kari_Wuhrer,Jennifer_Leigh_Warren,Kellita_Smith,Bobby_Cooper,Jeff_Morris,Buddy_Anderson,Edward_L._Katz,Joe_Viterelli,Eileen_Ryan,Ryo_Ishibashi,Dennis_Fanning,Lisa_Crawford,Jay_Koiwai,Elizabeth_Gilliam,Michael_Ryan,Leo_Penn,Penelope_Allen,Richard_C._Sarafian,Matthew_Ryan"
78,The Juror,"With his gangster boss on trial for murder  a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not guilty verdict  implying that he'll kill her son Oliver if she fails  She manages to do this  but  when it becomes clear that the mobsters might want to silence her for good  she sends Oliver abroad and tries to gather evidence of the plot against her  setting up a final showdown There is no defense Drama Thrillerjurors,blackmail,court_case,son,trial,courtroomBrian_Gibson,Demi_Moore,Alec_Baldwin,Joseph_Gordon-Levitt,Anne_Heche,James_Gandolfini,Lindsay_Crouse,Tony_Lo_Bianco,Michael_Constantine,Matt_Craven,Todd_Susman,Michael_Rispoli,Julie_Halston,Frank_Adonis,Matthew_Cowles,Polly_Adams,Jack_Gilpin,Chuck_Cooper,Joe_Perrino,James_McCauley,Randy_Jurgensen,Gayle_Scott"
79,بادکنک سفید,"Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with  Children Dramafish,money,celebration,goldfishJafar_Panahi,Aida_Mohammadkhani,Mohsen_Kafili,Fereshteh_Sadre_Orafaiy,Anna_Borkowska,Mohammad_Shahani"
80,Things to Do in Denver When You're Dead,"Five different criminals face imminent death after botching a job quite badly Protect  Love  Honor  Avenge Crime Drama Romancebounty_hunter,parent_child_relationship,boat,way_of_life,coffin,denver,_colorado,godmother,paranoia,hitman,gangster,friendship,psychopath,revenge,murder,mafia,diner,violence,illegal_prostitution,extramarital_affairGary_Fleder,Andy_García,Christopher_Lloyd,William_Forsythe,Bill_Nunn,Treat_Williams,Jack_Warden,Steve_Buscemi,Fairuza_Balk,Gabrielle_Anwar,Christopher_Walken,Michael_Nicolosi,Sarah_Trigger,David_Stratton,Jenny_McCarthy,Bill_Erwin"
81,Antonia,"After World War II  Antonia and her daughter  Danielle  go back to their Dutch hometown  where Antonia's late mother has bestowed a small farm upon her  There  Antonia settles down and joins a tightly knit but unusual community  Those around her include quirky friend Crooked Finger  would be suitor Bas and  eventually for Antonia  a granddaughter and great granddaughter who help create a strong family of empowered women A motion picture that celebrates everything you love about life Comedy Dramasuicide,underdog,free_love,philosophy,rape,loss_of_loved_one,mentally_disabled,parent_child_relationship,village_life,world_war_ii,feminism,indian_summer_,family_history,widow,peasant,village,mathematics,freedom,right_and_justice,single,male_homosexuality,domestic_violence,university,woman_directorMarleen_Gorris,Willeke_van_Ammelrooy,Els_Dottermans,Dora_van_der_Groen,Veerle_van_Overloop,Esther_Vriesendorp,Arne_Bang-Hansen,Thyrza_Ravesteijn,Mil_Seghers,Jan_Decleir,Elsie_de_Brauw,Reinout_Bussemaker,Marina_de_Graaf,Wimie_Wilhelm,Fran_Waller_Zeper"
82,Once Upon a Time... When We Were Colored,"This film relates the story of a tightly connected Afro American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere  as told by a boy called Cliff who spent his childhood there  Despite this  we see the life of the community in all its joys and sorrows  of those that live there while others decide to leave for a better life north  For those remaining  things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation  In response  the community must make the decision of whether to submit meekly like they always have  or finally fight for their rights  Drama Romanceracial_segregation,family_relationships,rural_areaTim_Reid,Al_Freeman,_Jr.,Phylicia_Rashād,Paula_Kelly,Salli_Richardson-Whitfield,Anna_Maria_Horsford,Bernie_Casey,Isaac_Hayes,Ray_J,Polly_Bergen,Taj_Mahal,Leon"
83,Last Summer in the Hamptons,"Filmed entirely on location in East Hampton  Long Island  ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades old family retreat which economic circumstances have forced them to put on the market  Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends   led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors  directors  and playwrights  In the course of a very unusual weekend  comic as well as serious situations arise  and the family's secrets   of which there are many   begin to unravel  Comedy Drama Henry_Jaglom,Victoria_Foyt,Viveca_Lindfors,Jon_Robin_Baitz,Savannah_Smith_Boucher,Roscoe_Lee_Browne,Andre_Gregory,Nick_Gregory,Melissa_Leo,Roddy_McDowall,Martha_Plimpton,Ron_Rifkin,Diane_Salinger,Brooke_Smith,Kristoffer_Tabori,Holland_Taylor,Henry_Jaglom,Megan_Hughes"
84,Angels and Insects,"In Victorian England  wealthy patriarch Sir Harald Alabaster invites an impoverished biologist  William Adamson  into his home  There  William tries to continue his work  but is distracted by Alabaster's seductive daughter  Eugenia  William and Eugenia begin a torrid romance  but as the couple become closer  the young scientist begins to realize that dark  disturbing things are happening behind the closed doors of the Alabaster manor An elegant seduction  An erotic deception  A stunning revelation Drama Romanceinsect,class_society,rich_woman_poor_man,victorian_england,scientist,incest,based_on_short_story,naturalistPhilip_Haas,Mark_Rylance,Kristin_Scott_Thomas,Patsy_Kensit,Jeremy_Kemp,Douglas_Henshall,Annette_Badland,Chris_Larkin,Anna_Massey"
85,White Squall,"In    a hardy group of prep school students boards an old fashioned sailing ship  With Capt  Christopher Sheldon  Jeff Bridges  at the helm  the oceangoing voyage is intended to teach the boys fortitude and discipline  But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm The strongest will in nature is the will to survive Action Adventure Dramasailing_trip,diary,sailing,survival,coming_of_age,teenage_boy,discipline,squall,sail,caribbean_sea,male_bonding,seasickness,storm_at_sea,1960sRidley_Scott,Jeff_Bridges,Caroline_Goodall,John_Savage,Scott_Wolf,Jeremy_Sisto,Ryan_Phillippe,David_Lascher,Eric_Michael_Cole,Jason_Marsden,David_Selby,Julio_Oscar_Mechoso,Zeljko_Ivanek,Balthazar_Getty,Ethan_Embry,Jordan_Scott,James_Rebhorn"
86,Dunston Checks In,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in  Trouble is  the critic is really a villainous jewel thief with an orangutan assistant named Dunston  When Dunston gets loose and tries to escape a life of crime    aided by Robert's sons    havoc  hijinks and lots of laughs abound He's about to turn a Five Star Hotel into a three ring circus Children Comedyboss,fistfight,bully,orangutan,hotel_managerKen_Kwapis,Jason_Alexander,Faye_Dunaway,Eric_Lloyd,Rupert_Everett,Graham_Sack,Paul_Reubens,Glenn_Shadix,Nathan_Davis,Jennifer_Bassey,Judith_Scott,Bruce_Beatty,Danny_Comden,Steven_Gilborn,Lois_de_Banzie,Natalie_Core,Paula_Malcomson,Frank_Welker"
87,Black Sheep,"When dignified Albert Donnelly runs for Governor  his team moves to keep his slow witted and klutzy younger brother  Mike  out of the eye of the media  To baby sit Mike  the campaign assigns sarcastic Steve  who gets the experience of a lifetime when he tries to take Mike out of town during the election There's one in every family Comedycorrupt_politician,nitrous_oxide,candid_camera,double_act,political_satire,woman_directorPenelope_Spheeris,Chris_Farley,David_Spade,Tim_Matheson,Christine_Ebersole,Gary_Busey,Grant_Heslov,Timothy_Carhart,Bruce_McGill,Michael_Patrick_Carter,Boyd_Banks,David_St._James,Skip_O'Brien,Branden_R._Morgan,Gypsy_Spheeris,John_Ashker,James_Noah,Chris_Owen,Jonathan_Everett_Lewis,Kevin_Farley,John_Farley"
88,Nick of Time,"An unimpressive  every day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter  Action Thrillerassassination,politics,los_angeles,_californiaJohn_Badham,Johnny_Depp,Courtney_Chase,Charles_S._Dutton,Christopher_Walken,Roma_Maffia,Peter_Strauss,Gloria_Reuben,Marsha_Mason,Miguel_Nájera,Bill_Smitrovich,G._D._Spradlin,Charles_Carroll,Yul_Vazquez,Edith_Diaz,Armando_Ortega,C.J._Bau,Cynthena_Sanders,Dana_Mackey,Jerry_Tondo,Lance_Hunter_Voorhees,John_Azevedo_Jr.,Lance_August,Peter_MacKenzie,Rick_Zieff,Michael_Chong,Cynthia_Noritake,Holly_Kuespert,Pamela_Dunlap,Jan_Speck,Tom_Lawrence,Robert_Buckingham,Clark_Johnson,Antony_Sandoval,Isabel_García_Lorca"
89,The Journey of August King,"The Journey of August King is a multi dimensional drama about a North Carolina farmer in    August King  a widower  is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter  On his journey  he comes upon a run away slave  a young woman about   and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and  ultimately  returned to her slave owner  Drama John_Duigan,Jason_Patric,Thandie_Newton,Larry_Drake,Sam_Waterston,Eric_Mabius,Sarah-Jane_Wylde"
90,Mary Reilly,"A housemaid falls in love with Dr  Jekyll and his darkly mysterious counterpart  Mr  Hyde The untold story of Jekyll and HydeDrama Horror Thrillerservant,monster,laboratory,jekyll_and_hyde,housemaid,19th_centuryStephen_Frears,Julia_Roberts,John_Malkovich,George_Cole,Michael_Gambon,Glenn_Close,Kathy_Staff,Michael_Sheen,Bronagh_Gallagher,Linda_Bassett,Ciarán_Hinds,Henry_Goodman,Wendy_Nottingham,Moya_Brady,Emma_Griffiths_Malin,Sasha_Hanau,Isabella_Marshall,Richard_Leaf,Stephen_Boxer"
91,Vampire in Brooklyn,"Maximillian  the lone survivor of a race of vampires  comes to Brooklyn in search of a way to live past the next full moon  His ticket to survival is Rita  a NYPD detective who doesn't know she's half vampire    and Maximillian will do whatever's necessary to put her under his spell A comic tale of horror and seduction Comedy Horror Romancevampire,half_vampire,brooklyn,_new_york_cityWes_Craven,Eddie_Murphy,Angela_Bassett,Allen_Payne,Kadeem_Hardison,John_Witherspoon,Zakes_Mokae,Joanna_Cassidy,Simbi_Khali,Vickilyn_Reynolds,Messiri_Freeman,Kelly_Cinnante,Jsu_Garcia,W._Earl_Brown,Ayo_Adeyemi,Troy_Curvey_Jr.,William_Blount,Joe_Costanza,John_LaMotta,Marcelo_Tubert,Nick_DeMauro,Jerry_Hall,Mark_Haining,Wendy_Robie,Alyse_Mandel,Larry_Paul_Marshall,Vince_Micelli,Oren_Waters,Carlton_Davis,Clive_Ross,Michael_Hyde,Maxine_Waters_Willard,Josef_Powell,Roy_Galloway,Carmen_Carter,Julia_Waters,Carmen_Twillie,Ray_Combs,Mitch_Pileggi,Ken_Tipton"
92,Beautiful Girls,"During a snowy winter in the small fictional town of Knight's Ridge  Massachusetts  a group of lifelong buddies hang out  drink and struggle to connect with the women who affect their decisions  dreams and desires Good times never seemed so good Comedy Drama Romancesmall_town,massachusetts,friendship,coming_of_age,hometown,group_of_friendsTed_Demme,Timothy_Hutton,Matt_Dillon,Noah_Emmerich,Annabeth_Gish,Lauren_Holly,Uma_Thurman,Mira_Sorvino,Michael_Rapaport,Rosie_O'Donnell,Pruitt_Taylor_Vince,Max_Perlich,Martha_Plimpton,Natalie_Portman,Anne_Bobby,Richard_Bright,Sam_Robards,David_Arquette,Adam_LeFevre,John_Carroll_Lynch,Tom_Gibis,Greg_Dulli,John_Scurti,Frank_Anello,Camille_D'Ambrose,Sarah_Katz,Martin_Ruben,Allison_Levine,Earl_R._Burt,Trent_Nicholas_Thompson,Nicole_Ranallo,Joyce_Lacey,Anne_W._Erickson,Oliver_Osterberg,Sterling_Robson,Herbie_Ade,Tammara_Melloy,Lori_J._Ness,Rachel_Oliva,Tomas_Settell"
93,Broken Arrow,"When rogue stealth fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers  the Air Force ends up with two stolen nuclear warheads    and Deakins's co pilot  Riley Hale  is the military's only hope for getting them back  Traversing the deserted canyons of Utah  Hale teams with park ranger Terry Carmichael to put Deakins back in his box Prepare to Go Ballistic Action Adventure Thrillerhelicopter,river,captain,underground,mexican_standoff,countdown,pilot,fistfight,canyon,major,betrayal,gunfight,train,explosion,park_ranger,desert,military,nuclear_device,boxing,stealth_aircraft,abandoned_mine,humveeJohn_Woo,John_Travolta,Christian_Slater,Samantha_Mathis,Delroy_Lindo,Bob_Gunton,Frank_Whaley,Howie_Long,Vondie_Curtis-Hall,Jack_Thompson,Vyto_Ruginis,Ousaun_Elam,Shaun_Toub,Casey_Biggs,Jeffrey_J._Stephen,Joey_Box,Kurtwood_Smith,Daniel_von_Bargen,Bruce_Holman,James_MacDonald,French_Stewart,Chris_Mulkey,Raymond_Cruz,Tom_Demille"
94,In the Bleak Midwinter,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet  somewhat against the advice of his agent Margaretta  As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis  that is  they may not get paid anything  he cannot expect   and does not get   the cream of the cream  But although they all bring their own problems and foibles along  something bigger starts to emerge in the perhaps aptly named village of Hope The drama  The passion  The intrigue    And the rehearsals haven't even started Comedy Dramaplay,hamlet,christmas,actorKenneth_Branagh,Michael_Maloney,Richard_Briers,Joan_Collins,Nicholas_Farrell,Julia_Sawalha,Celia_Imrie,John_Sessions,Jennifer_Saunders,Gerard_Horan,Mark_Hadfield,Hetta_Charnley,Adrian_Scarborough,Brian_Pettifer,Patrick_Doyle,Shaun_Prendergast,Adrian_Scarborough,Allie_Byrne,Katy_Carmichael,Ann_Davies,James_D._White,Robert_Hines,Edward_Jewesbury,Carol_Starks,Jessica_Manley"
95,La Haine,"After a chaotic night of rioting in a marginal suburb of Paris  three young friends  Vinz  Hubert and Saïd  wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police How far you fall doesn't matter  it's how you land…Crime Dramaparis,_france,neo_nazism,police_brutality,hip-hop,socially_deprived_family,breakdance,ghetto,male_friendship,xenophobia,paris_suburbMathieu_Kassovitz,Vincent_Cassel,Hubert_Koundé,Saïd_Taghmaoui,Abdel_Ahmed_Ghili,Souleymane_Dicko,Joseph_Momo,Héloïse_Rauth,Rywka_Wajsbrot,Olga_Abrego,Laurent_Labasse,Choukri_Gabteni,Nabil_Ben_Mhamed,Benoît_Magimel,Médard_Niang,Arash_Mansour,Abdel-Moulah_Boujdouni,Mathilde_Vitry,Christian_Moro,Edouard_Montoute,JiBi,Félicité_Wouassi,Fatou_Thioune,Thang-Long,Cut_Killer,Sabrina_Houicha,Sandor_Weltmann,François_Levantal,Julie_Mauduech,Karin_Viard,Peter_Kassovitz,Christophe_Rossignon,Vincent_Lindon,Mathieu_Kassovitz,Anthony_Souter,Florent_Lavandeira,Teddy_Marques,Samir_Khelif,Tadek_Lokcinski,Virginie_Montel,Andrée_Damant,Marcel_Marondo,Karim_Belkhadra,Marc_Duret,Eric_Pujol,Philippe_Nahon,Sébastien_Tavel,François_Toumarkine,José_Dalmat,Zinedine_Soualem,Bernie_Bonvoisin,Cyril_Ancelin,Patrick_Médioni,Nabil_Ben_Mahmed,Solo,Anthony_Soutter,Sandor_Weitmann,Virginia_Montel"
